targetID,row,col,reward,penalty
1,1,1,7.821030791935799,-9.072430030121913
2,2,1,5.788875839284556,-0.6264274001542738
3,2,2,7.606233546956381,-8.923390938043156
4,2,4,8.756026450844393,-8.345019350074773
5,4,1,4.452586202943888,-3.9908069500741297
6,4,2,8.27206382493534,-7.302432792035115
7,4,4,3.9070256032090116,-8.128718201789042
8,4,5,3.661781162866366,-0.48187412332447543
9,5,3,4.832087090232056,-8.673292481628405
10,5,4,2.1033570412471003,-0.3897216828621737
11,5,5,1.496182097632409,-6.677644699961073
12,6,5,5.123192528911558,-6.80960848134803
13,7,1,1.7036986320403043,-8.030575663425166
