targetID,row,col,reward,penalty
1,0,6,0.35000781812396065,0.31882433251474585
2,0,7,0.44325511663925155,-0.27592651941628554
3,0,8,0.028782958009698892,-0.05000737512096037
4,1,6,0.3244278684069965,0.23651429365677457
5,1,7,0.39513121382446215,0.04258235068715144
6,1,8,0.4703301037777613,0.23186457346814227
7,2,4,0.06151214346197807,0.045019257511828226
8,2,5,0.3426888598651811,0.3085678189920683
9,2,6,0.06179978172673034,-0.29483259151928753
10,2,7,-0.09257213907895334,-0.42259270532707927
11,2,8,0.36020985580063525,0.1978560333689614
12,3,3,0.374676139152226,0.23543216704574066
13,3,4,0.4184143128582265,-0.2812832041985647
14,3,5,0.38229574199274347,-0.36243439600262267
15,3,6,-0.11289342431675317,-0.30837291656855503
16,3,7,0.06058475516855374,0.03326115378465078
17,3,8,0.4826472768838122,0.41314771759400737
18,3,9,0.3665037990508923,-0.13410476183149117
19,3,19,0.3193191327502516,0.2555510264033698
20,4,2,0.3878261497624145,0.3003503883890556
21,4,3,-0.19496661861430403,-0.22550318859789886
22,4,4,-0.10973587328507983,-0.4829055511283922
23,4,5,-0.2804083611871104,-0.4515824752072389
24,4,6,0.40503742139521526,0.31368092693120575
25,4,7,0.36355285163345064,0.24274241957618248
26,4,8,0.29372038512489407,0.2908861490395168
27,4,9,0.4050576170140866,-0.20578353957748385
28,4,19,-0.3476267328146667,-0.40891030929940525
29,5,1,0.29123553045809725,0.2608608385887128
30,5,2,0.4279096593996876,0.3842626774068776
31,5,8,0.3273067712942771,-0.2815617814768703
32,5,10,0.16821735366971788,0.1169519972665316
33,5,11,0.01958137745169847,0.01401190053836987
34,5,19,0.32876042389537125,0.21807902840290305
35,6,1,0.1751402548042983,0.0461349159265122
36,6,2,0.46840609100920866,-0.26775422647922703
37,6,3,0.4899631188742273,0.4262890241670889
38,6,10,-0.045757363705613285,-0.18349672350180035
39,6,11,-0.4472138125951031,-0.4512173765152141
40,7,3,0.4883766778785624,0.41600104605093136
41,7,4,0.41303513648851414,0.40320717796883554
42,7,5,-0.0996448258960341,-0.229993821176338
43,7,6,0.4809132889706975,0.3652071528837132
44,7,7,0.3593511685842325,0.13390287933733325
45,7,8,0.49641277042578547,0.12805726300418607
46,7,9,0.33925761781823904,0.14185936118355946
47,7,10,0.3914364986250184,0.29532044522284184
48,8,3,-0.36074377814990355,-0.4374398252868611
49,8,4,0.2543197865921109,-0.32971187272210706
50,8,5,0.22144475585569456,-0.37272741428237544
51,8,6,0.32181640412988344,0.24832038264556966
52,8,7,0.434543519445208,0.2505725993785559
53,8,8,0.32362035398665906,0.2668281057106836
54,8,9,0.3940470099181584,-0.1430032438128736
55,8,10,-0.0010152931703228951,-0.49872238928483315
56,9,3,0.4455266552986025,-0.07303958070275846
57,9,4,0.41212452369971536,0.35407503121759576
58,9,5,-0.07921535003607133,-0.4434801688727182
59,9,6,-0.05334660254675691,-0.1371255538401761
60,9,7,0.48578262819003226,0.001108879350885661
61,9,8,0.017037987373690333,-0.2707916292913347
62,9,9,0.45864615420449095,-0.47956951330733155
63,9,10,0.08409911960092831,-0.4988801768070956
64,10,3,0.3378559134568822,-0.19861879252261155
65,10,4,0.481008777861754,-0.20951444554631915
66,10,5,0.23101040612083085,-0.42378710806932923
67,10,7,0.47070662499273763,-0.20273507070092456
68,10,8,0.4792649562810961,0.19962176686259892
69,10,9,0.19270243509750706,-0.23412126835224295
70,10,10,0.19153687270108727,-0.31369771250107253
71,11,4,0.39541955134772744,-0.3214173402371816
72,11,5,0.2619459353874241,-0.4525065480890263
73,11,6,-0.3575160909957673,-0.39724722256687894
74,11,7,0.4515245914053552,0.44831637494957377
75,11,8,0.21480677412958524,0.1316649920367634
76,11,9,0.43336057291691027,-0.020820614656079317
77,11,10,0.16098644435042578,0.14756688197310575
78,12,5,0.36743783761827825,0.3645804107045635
79,12,6,0.39920819955778614,0.1273753736540768
80,12,7,0.1216985496769541,0.11505974373975691
81,12,8,0.40496358709469726,0.37610274964798374
82,12,9,0.33114208633956277,0.2528806346351986
83,12,10,0.26849386021108973,-0.132174746409853
84,13,7,0.46428525853828545,0.4104378173466827
85,13,8,-0.42580977900221506,-0.47507322148771775
86,13,9,-0.0011498460442497666,-0.10292047617072786
87,14,7,0.4763971597127117,-0.027623153971741865
88,14,8,-0.05205803989462186,-0.1612299373303699
89,14,9,0.29823137428388946,0.08479730782445516
